subject,trial,code,speaker,targetphrase,counterbalance,effort_rating
LE01,46,EXP_63,Control,round and bad for carpet,2,1
LE01,47,EXP_15,Control,beside a sunken bat,2,2
LE01,48,EXP_44,ALS,mark a single ladder,2,4
LE01,49,EXP_07,ALS,and spoke behind her sin,2,4
LE01,50,EXP_69,ALS,spackle enter broken,2,4
LE01,51,EXP_75,Control,thinking for the hearing,2,2
LE01,52,EXP_33,ALS,forget the joke below,2,5
LE01,53,EXP_43,Control,listen final station,2,1
LE01,54,EXP_70,ALS,stable wrist and load it,2,5
LE01,55,EXP_36,ALS,had eaten junk and train,2,6
LE01,56,EXP_11,ALS,attend the trend success,2,4
LE01,57,EXP_10,Control,attack became concerned,2,1
LE01,58,EXP_77,Control,transcend almost betrayed,2,1
LE01,59,EXP_66,ALS,secure but lease apart,2,5
LE01,60,EXP_56,Control,pooling pill or cattle,2,1
LE01,61,EXP_60,ALS,resting older earring,2,3
LE01,62,EXP_29,ALS,divide across retreat,2,4
LE01,63,EXP_54,ALS,perceive sustained supplies,2,5
LE01,64,EXP_55,Control,pick a chain for action,2,1
LE01,65,EXP_21,Control,commit such used advice,2,2
LE01,66,EXP_14,ALS,balance clamp and bottle,2,4
LE01,67,EXP_62,Control,rode the lamp for teasing,2,2
LE01,68,EXP_78,Control,unless escape can learn,2,1
LE01,69,EXP_17,Control,bush is chosen after,2,2
LE01,70,EXP_20,ALS,cheap control in paper,2,5
LE01,71,EXP_68,ALS,sinking rather tundra,2,5
LE01,72,EXP_30,Control,done with finest handle,2,1
LE01,73,EXP_37,Control,her owners arm the phone,2,1
LE01,74,EXP_27,ALS,define respect instead,2,4
LE01,75,EXP_49,ALS,mode campaign for budget,2,4
LE01,76,EXP_39,Control,increase a grade sedate,2,1
LE01,77,EXP_04,ALS,advance but sat appeal,2,5
LE01,78,EXP_26,ALS,darker painted baskets,2,4
LE01,79,EXP_80,ALS,vital seats with wonder,2,6
LE01,80,EXP_25,ALS,cool the jar in private,2,5
LE01,81,EXP_50,ALS,model sad and local,2,6
LE01,82,EXP_38,Control,hold a page of fortune,2,2
LE01,83,EXP_05,Control,afraid beneath demand,2,2
LE01,84,EXP_45,Control,mate denotes a judgement,2,1
LE01,85,EXP_47,ALS,measure fame with legal,2,4
LE02,6,EXP_10,ALS,attack became concerned,1,4
LE02,7,EXP_12,ALS,avoid or beat command,1,5
LE02,8,EXP_53,ALS,pain can follow agents,1,3
LE02,9,EXP_27,Control,define respect instead,1,1
LE02,10,EXP_32,ALS,for coke a great defeat,1,6
LE02,11,EXP_36,Control,had eaten junk and train,1,4
LE02,12,EXP_72,Control,support with dock and cheer,1,1
LE02,13,EXP_52,ALS,or spent sincere aside,1,6
LE02,14,EXP_80,Control,vital seats with wonder,1,1
LE02,15,EXP_26,Control,darker painted baskets,1,1
LE02,16,EXP_08,ALS,appear to wait then turn,1,3
LE02,17,EXP_15,ALS,beside a sunken bat,1,4
LE02,18,EXP_33,Control,forget the joke below,1,1
LE02,19,EXP_75,ALS,thinking for the hearing,1,3
LE02,20,EXP_58,ALS,rampant boasting captain,1,6
LE02,21,EXP_55,ALS,pick a chain for action,1,5
LE02,22,EXP_41,Control,its harmful note abounds,1,1
LE02,23,EXP_50,Control,model sad and local,1,1
LE02,24,EXP_16,Control,bolder ground from justice,1,1
LE02,25,EXP_65,ALS,seat for locking runners,1,6
LE02,26,EXP_06,ALS,amend estate approach,1,5
LE02,27,EXP_05,ALS,afraid beneath demand,1,3
LE02,28,EXP_14,Control,balance clamp and bottle,1,1
LE02,29,EXP_54,Control,perceive sustained supplies,1,1
LE02,30,EXP_79,Control,unseen machines agree,1,1
LE02,31,EXP_11,Control,attend the trend success,1,1
LE02,32,EXP_44,Control,mark a single ladder,1,1
LE02,33,EXP_77,ALS,transcend almost betrayed,1,6
LE02,34,EXP_40,ALS,indeed a tax ascent,1,6
LE02,35,EXP_19,Control,career despite research,1,1
LE02,36,EXP_29,Control,divide across retreat,1,1
LE02,37,EXP_60,Control,resting older earring,1,2
LE02,38,EXP_74,Control,technique but sent result,1,2
LE02,39,EXP_23,Control,connect the beer device,1,1
LE02,40,EXP_38,ALS,hold a page of fortune,1,5
LE02,41,EXP_64,ALS,rowing farther matters,1,4
LE02,42,EXP_51,ALS,narrow seated member,1,6
LE02,43,EXP_78,ALS,unless escape can learn,1,4
LE02,44,EXP_39,ALS,increase a grade sedate,1,6
LE02,45,EXP_73,Control,target keeping season,1,1
LE02,46,EXP_02,ALS,address her meeting time,1,3
LE02,47,EXP_17,ALS,bush is chosen after,1,7
LE02,48,EXP_28,ALS,distant leaking basement,1,3
LE02,49,EXP_07,Control,and spoke behind her sin,1,1
LE02,50,EXP_71,ALS,submit his cash report,1,4
LE02,51,EXP_30,ALS,done with finest handle,1,4
LE02,52,EXP_34,Control,frame her seed to answer,1,1
LE02,53,EXP_03,Control,admit the gear beyond,1,1
LE02,54,EXP_24,Control,constant willing walker,1,2
LE02,55,EXP_69,Control,sparkle enter broken,1,1
LE02,56,EXP_20,Control,cheap control in paper,1,1
LE02,57,EXP_59,ALS,remove and name for stake,1,5
LE02,58,EXP_35,Control,functions aim his acid,1,1
LE02,59,EXP_56,ALS,pooling pill or cattle,1,5
LE02,60,EXP_67,ALS,signal breakfast pilot,1,3
LE02,61,EXP_42,ALS,kick a tad above them,1,6
LE02,62,EXP_62,ALS,rode the lamp for teasing,1,4
LE02,63,EXP_49,Control,mode campaign for budget,1,1
LE02,64,EXP_43,ALS,listen final station,1,5
LE02,65,EXP_61,Control,rocking modern poster,1,1
LE02,66,EXP_66,Control,secure but lease apart,1,1
LE02,67,EXP_63,ALS,round and bad for carpet,1,4
LE02,68,EXP_37,ALS,her owners arm the phone,1,4
LE02,69,EXP_09,Control,assume to catch control,1,1
LE02,70,EXP_48,Control,mistake delight for heat,1,1
LE02,71,EXP_22,ALS,confused but roared again,1,5
LE02,72,EXP_68,Control,sinking rather tundra,1,1
LE02,73,EXP_45,ALS,mate denotes a judgement,1,6
LE02,74,EXP_13,ALS,award his drain away,1,5
LE02,75,EXP_01,Control,account for who could knock,1,1
LE02,76,EXP_25,Control,cool the jar in private,1,1
LE02,77,EXP_46,Control,may the same pursued it,1,2
LE02,78,EXP_31,ALS,embark or take her sheet,1,4
LE02,79,EXP_70,Control,stable wrist and load it,1,1
LE02,80,EXP_47,Control,measure fame with legal,1,1
LE02,81,EXP_18,ALS,butcher in the middle,1,4
LE02,82,EXP_76,Control,to sort but fear inside,1,1
LE02,83,EXP_57,ALS,push her equal culture,1,4
LE02,84,EXP_21,ALS,commit such used advice,1,3
LE02,85,EXP_04,Control,advance but sat appeal,1,1
LE04,6,EXP_10,ALS,attack became concerned,1,4
LE04,7,EXP_12,ALS,avoid or beat command,1,4
LE04,8,EXP_53,ALS,pain can follow agents,1,3
LE04,9,EXP_27,Control,define respect instead,1,1
LE04,10,EXP_32,ALS,for coke a great defeat,1,3
LE04,11,EXP_36,Control,had eaten junk and train,1,1
LE04,12,EXP_72,Control,support with dock and cheer,1,2
LE04,13,EXP_52,ALS,or spent sincere aside,1,5
LE04,14,EXP_80,Control,vital seats with wonder,1,1
LE04,15,EXP_26,Control,darker painted baskets,1,1
LE04,16,EXP_08,ALS,appear to wait then turn,1,4
LE04,17,EXP_15,ALS,beside a sunken bat,1,5
LE04,18,EXP_33,Control,forget the joke below,1,1
LE04,19,EXP_75,ALS,thinking for the hearing,1,3
LE04,20,EXP_58,ALS,rampant boasting captain,1,5
LE04,21,EXP_55,ALS,pick a chain for action,1,5
LE04,22,EXP_41,Control,its harmful note abounds,1,1
LE04,23,EXP_50,Control,model sad and local,1,1
LE04,24,EXP_16,Control,bolder ground from justice,1,1
LE04,25,EXP_65,ALS,seat for locking runners,1,7
LE04,26,EXP_06,ALS,amend estate approach,1,5
LE04,27,EXP_05,ALS,afraid beneath demand,1,2
LE04,28,EXP_14,Control,balance clamp and bottle,1,1
LE04,29,EXP_54,Control,perceive sustained supplies,1,1
LE04,30,EXP_79,Control,unseen machines agree,1,1
LE04,31,EXP_11,Control,attend the trend success,1,3
LE04,32,EXP_44,Control,mark a single ladder,1,1
LE04,33,EXP_77,ALS,transcend almost betrayed,1,6
LE04,34,EXP_40,ALS,indeed a tax ascent,1,6
LE04,35,EXP_19,Control,career despite research,1,1
LE04,36,EXP_29,Control,divide across retreat,1,1
LE04,37,EXP_60,Control,resting older earring,1,1
LE04,38,EXP_74,Control,technique but sent result,1,2
LE04,39,EXP_23,Control,connect the beer device,1,1
LE04,40,EXP_38,ALS,hold a page of fortune,1,5
LE04,41,EXP_64,ALS,rowing farther matters,1,5
LE04,42,EXP_51,ALS,narrow seated member,1,6
LE04,43,EXP_78,ALS,unless escape can learn,1,4
LE04,44,EXP_39,ALS,increase a grade sedate,1,7
LE04,45,EXP_73,Control,target keeping season,1,1
LE04,46,EXP_02,ALS,address her meeting time,1,3
LE04,47,EXP_17,ALS,bush is chosen after,1,4
LE04,48,EXP_28,ALS,distant leaking basement,1,4
LE04,49,EXP_07,Control,and spoke behind her sin,1,2
LE04,50,EXP_71,ALS,submit his cash report,1,6
LE04,51,EXP_30,ALS,done with finest handle,1,6
LE04,52,EXP_34,Control,frame her seed to answer,1,1
LE04,53,EXP_03,Control,admit the gear beyond,1,1
LE04,54,EXP_24,Control,constant willing walker,1,1
LE04,55,EXP_69,Control,sparkle enter broken,1,3
LE04,56,EXP_20,Control,cheap control in paper,1,1
LE04,57,EXP_59,ALS,remove and name for stake,1,6
LE04,58,EXP_35,Control,functions aim his acid,1,3
LE04,59,EXP_56,ALS,pooling pill or cattle,1,7
LE04,60,EXP_67,ALS,signal breakfast pilot,1,4
LE04,61,EXP_42,ALS,kick a tad above them,1,7
LE04,62,EXP_62,ALS,rode the lamp for teasing,1,6
LE04,63,EXP_49,Control,mode campaign for budget,1,4
LE04,64,EXP_43,ALS,listen final station,1,7
LE04,65,EXP_61,Control,rocking modern poster,1,1
LE04,66,EXP_66,Control,secure but lease apart,1,1
LE04,67,EXP_63,ALS,round and bad for carpet,1,6
LE04,68,EXP_37,ALS,her owners arm the phone,1,5
LE04,69,EXP_09,Control,assume to catch control,1,1
LE04,70,EXP_48,Control,mistake delight for heat,1,1
LE04,71,EXP_22,ALS,confused but roared again,1,5
LE04,72,EXP_68,Control,sinking rather tundra,1,1
LE04,73,EXP_45,ALS,mate denotes a judgement,1,5
LE04,74,EXP_13,ALS,award his drain away,1,7
LE04,75,EXP_01,Control,account for who could knock,1,3
LE04,76,EXP_25,Control,cool the jar in private,1,2
LE04,77,EXP_46,Control,may the same pursued it,1,3
LE04,78,EXP_31,ALS,embark or take her sheet,1,6
LE04,79,EXP_70,Control,stable wrist and load it,1,2
LE04,80,EXP_47,Control,measure fame with legal,1,2
LE04,81,EXP_18,ALS,butcher in the middle,1,6
LE04,82,EXP_76,Control,to sort but fear inside,1,2
LE04,83,EXP_57,ALS,push her equal culture,1,6
LE04,84,EXP_21,ALS,commit such used advice,1,6
LE04,85,EXP_04,Control,advance but sat appeal,1,2
LE05,6,EXP_10,ALS,attack became concerned,1,3
LE05,7,EXP_12,ALS,avoid or beat command,1,3
LE05,8,EXP_53,ALS,pain can follow agents,1,4
LE05,9,EXP_27,Control,define respect instead,1,1
LE05,10,EXP_32,ALS,for coke a great defeat,1,5
LE05,11,EXP_36,Control,had eaten junk and train,1,2
LE05,12,EXP_72,Control,support with dock and cheer,1,2
LE05,13,EXP_52,ALS,or spent sincere aside,1,5
LE05,14,EXP_80,Control,vital seats with wonder,1,3
LE05,15,EXP_26,Control,darker painted baskets,1,1
LE05,16,EXP_08,ALS,appear to wait then turn,1,3
LE05,17,EXP_15,ALS,beside a sunken bat,1,3
LE05,18,EXP_33,Control,forget the joke below,1,1
LE05,19,EXP_75,ALS,thinking for the hearing,1,3
LE05,20,EXP_58,ALS,rampant boasting captain,1,5
LE05,21,EXP_55,ALS,pick a chain for action,1,4
LE05,22,EXP_41,Control,its harmful note abounds,1,1
LE05,23,EXP_50,Control,model sad and local,1,3
LE05,24,EXP_16,Control,bolder ground from justice,1,2
LE05,25,EXP_65,ALS,seat for locking runners,1,4
LE05,26,EXP_06,ALS,amend estate approach,1,5
LE05,27,EXP_05,ALS,afraid beneath demand,1,3
LE05,28,EXP_14,Control,balance clamp and bottle,1,1
LE05,29,EXP_54,Control,perceive sustained supplies,1,1
LE05,30,EXP_79,Control,unseen machines agree,1,1
LE05,31,EXP_11,Control,attend the trend success,1,2
LE05,32,EXP_44,Control,mark a single ladder,1,1
LE05,33,EXP_77,ALS,transcend almost betrayed,1,4
LE05,34,EXP_40,ALS,indeed a tax ascent,1,5
LE05,35,EXP_19,Control,career despite research,1,1
LE05,36,EXP_29,Control,divide across retreat,1,1
LE05,37,EXP_60,Control,resting older earring,1,2
LE05,38,EXP_74,Control,technique but sent result,1,2
LE05,39,EXP_23,Control,connect the beer device,1,1
LE05,40,EXP_38,ALS,hold a page of fortune,1,4
LE05,41,EXP_64,ALS,rowing farther matters,1,5
LE05,42,EXP_51,ALS,narrow seated member,1,4
LE05,43,EXP_78,ALS,unless escape can learn,1,3
LE05,44,EXP_39,ALS,increase a grade sedate,1,5
LE05,45,EXP_73,Control,target keeping season,1,1
LE05,46,EXP_02,ALS,address her meeting time,1,2
LE05,47,EXP_17,ALS,bush is chosen after,1,4
LE05,48,EXP_28,ALS,distant leaking basement,1,4
LE05,49,EXP_07,Control,and spoke behind her sin,1,1
LE05,50,EXP_71,ALS,submit his cash report,1,3
LE05,51,EXP_30,ALS,done with finest handle,1,5
LE05,52,EXP_34,Control,frame her seed to answer,1,3
LE05,53,EXP_03,Control,admit the gear beyond,1,1
LE05,54,EXP_24,Control,constant willing walker,1,1
LE05,55,EXP_69,Control,sparkle enter broken,1,1
LE05,56,EXP_20,Control,cheap control in paper,1,2
LE05,57,EXP_59,ALS,remove and name for stake,1,4
LE05,58,EXP_35,Control,functions aim his acid,1,2
LE05,59,EXP_56,ALS,pooling pill or cattle,1,3
LE05,60,EXP_67,ALS,signal breakfast pilot,1,4
LE05,61,EXP_42,ALS,kick a tad above them,1,5
LE05,62,EXP_62,ALS,rode the lamp for teasing,1,4
LE05,63,EXP_49,Control,mode campaign for budget,1,1
LE05,64,EXP_43,ALS,listen final station,1,4
LE05,65,EXP_61,Control,rocking modern poster,1,2
LE05,66,EXP_66,Control,secure but lease apart,1,2
LE05,67,EXP_63,ALS,round and bad for carpet,1,3
LE05,68,EXP_37,ALS,her owners arm the phone,1,3
LE05,69,EXP_09,Control,assume to catch control,1,1
LE05,70,EXP_48,Control,mistake delight for heat,1,1
LE05,71,EXP_22,ALS,confused but roared again,1,4
LE05,72,EXP_68,Control,sinking rather tundra,1,1
LE05,73,EXP_45,ALS,mate denotes a judgement,1,1
LE05,74,EXP_13,ALS,award his drain away,1,2
LE05,75,EXP_01,Control,account for who could knock,1,1
LE05,76,EXP_25,Control,cool the jar in private,1,1
LE05,77,EXP_46,Control,may the same pursued it,1,1
LE05,78,EXP_31,ALS,embark or take her sheet,1,2
LE05,79,EXP_70,Control,stable wrist and load it,1,1
LE05,80,EXP_47,Control,measure fame with legal,1,1
LE05,81,EXP_18,ALS,butcher in the middle,1,2
LE05,82,EXP_76,Control,to sort but fear inside,1,1
LE05,83,EXP_57,ALS,push her equal culture,1,3
LE05,84,EXP_21,ALS,commit such used advice,1,4
LE05,85,EXP_04,Control,advance but sat appeal,1,2
LE06,6,EXP_23,ALS,connect the beer device,2,6
LE06,7,EXP_13,Control,award his drain away,2,2
LE06,8,EXP_48,ALS,mistake delight for heat,2,4
LE06,9,EXP_64,Control,rowing farther matters,2,2
LE06,10,EXP_40,Control,indeed a tax ascent,2,2
LE06,11,EXP_52,Control,or spent sincere aside,2,3
LE06,12,EXP_71,Control,submit his cash report,2,1
LE06,13,EXP_09,ALS,assume to catch control,2,5
LE06,14,EXP_18,Control,butcher in the middle,2,2
LE06,15,EXP_12,Control,avoid or beat command,2,1
LE06,16,EXP_03,ALS,admit the gear beyond,2,4
LE06,17,EXP_46,ALS,may the same pursued it,2,7
LE06,18,EXP_58,Control,rampant boasting captain,2,1
LE06,19,EXP_32,Control,for coke a great defeat,2,3
LE06,20,EXP_74,ALS,technique but sent result,2,5
LE06,21,EXP_79,ALS,unseen machines agree,2,4
LE06,22,EXP_19,ALS,career despite research,2,3
LE06,23,EXP_24,ALS,constant willing walker,2,3
LE06,24,EXP_57,Control,push her equal culture,2,2
LE06,25,EXP_67,Control,signal breakfast pilot,2,1
LE06,26,EXP_22,Control,confused but roared again,2,1
LE06,27,EXP_41,ALS,its harmful note abounds,2,5
LE06,28,EXP_59,Control,remove and name for stake,2,1
LE06,29,EXP_51,Control,narrow seated member,2,2
LE06,30,EXP_08,Control,appear to wait then turn,2,1
LE06,31,EXP_16,ALS,bolder ground from justice,2,4
LE06,32,EXP_73,ALS,target keeping season,2,3
LE06,33,EXP_65,Control,seat for locking runners,2,1
LE06,34,EXP_35,ALS,functions aim his acid,2,5
LE06,35,EXP_76,ALS,to sort but fear inside,2,3
LE06,36,EXP_61,ALS,rocking modern poster,2,2
LE06,37,EXP_28,Control,distant leaking basement,2,1
LE06,38,EXP_42,Control,kick a tad above them,2,1
LE06,39,EXP_31,Control,embark or take her sheet,2,1
LE06,40,EXP_02,Control,address her meeting time,2,1
LE06,41,EXP_72,ALS,support with dock and cheer,2,4
LE06,42,EXP_06,Control,amend estate approach,2,1
LE06,43,EXP_01,ALS,account for who could knock,2,3
LE06,44,EXP_53,Control,pain can follow agents,2,2
LE06,45,EXP_34,ALS,frame her seed to answer,2,5
LE06,46,EXP_63,Control,round and bad for carpet,2,2
LE06,47,EXP_15,Control,beside a sunken bat,2,1
LE06,48,EXP_44,ALS,mark a single ladder,2,3
LE06,49,EXP_07,ALS,and spoke behind her sin,2,4
LE06,50,EXP_69,ALS,spackle enter broken,2,4
LE06,51,EXP_75,Control,thinking for the hearing,2,1
LE06,52,EXP_33,ALS,forget the joke below,2,3
LE06,53,EXP_43,Control,listen final station,2,1
LE06,54,EXP_70,ALS,stable wrist and load it,2,3
LE06,55,EXP_36,ALS,had eaten junk and train,2,7
LE06,56,EXP_11,ALS,attend the trend success,2,3
LE06,57,EXP_10,Control,attack became concerned,2,1
LE06,58,EXP_77,Control,transcend almost betrayed,2,1
LE06,59,EXP_66,ALS,secure but lease apart,2,4
LE06,60,EXP_56,Control,pooling pill or cattle,2,1
LE06,61,EXP_60,ALS,resting older earring,2,3
LE06,62,EXP_29,ALS,divide across retreat,2,3
LE06,63,EXP_54,ALS,perceive sustained supplies,2,2
LE06,64,EXP_55,Control,pick a chain for action,2,1
LE06,65,EXP_21,Control,commit such used advice,2,1
LE06,66,EXP_14,ALS,balance clamp and bottle,2,3
LE06,67,EXP_62,Control,rode the lamp for teasing,2,1
LE06,68,EXP_78,Control,unless escape can learn,2,1
LE06,69,EXP_17,Control,bush is chosen after,2,1
LE06,70,EXP_20,ALS,cheap control in paper,2,2
LE06,71,EXP_68,ALS,sinking rather tundra,2,2
LE06,72,EXP_30,Control,done with finest handle,2,1
LE06,73,EXP_37,Control,her owners arm the phone,2,1
LE06,74,EXP_27,ALS,define respect instead,2,2
LE06,75,EXP_49,ALS,mode campaign for budget,2,4
LE06,76,EXP_39,Control,increase a grade sedate,2,1
LE06,77,EXP_04,ALS,advance but sat appeal,2,3
LE06,78,EXP_26,ALS,darker painted baskets,2,1
LE06,79,EXP_80,ALS,vital seats with wonder,2,3
LE06,80,EXP_25,ALS,cool the jar in private,2,2
LE06,81,EXP_50,ALS,model sad and local,2,4
LE06,82,EXP_38,Control,hold a page of fortune,2,1
LE06,83,EXP_05,Control,afraid beneath demand,2,1
LE06,84,EXP_45,Control,mate denotes a judgement,2,1
LE06,85,EXP_47,ALS,measure fame with legal,2,2
LE07,6,EXP_23,ALS,connect the beer device,2,2
LE07,7,EXP_13,Control,award his drain away,2,2
LE07,8,EXP_48,ALS,mistake delight for heat,2,2
LE07,9,EXP_64,Control,rowing farther matters,2,1
LE07,10,EXP_40,Control,indeed a tax ascent,2,2
LE07,11,EXP_52,Control,or spent sincere aside,2,2
LE07,12,EXP_71,Control,submit his cash report,2,1
LE07,13,EXP_09,ALS,assume to catch control,2,3
LE07,14,EXP_18,Control,butcher in the middle,2,3
LE07,15,EXP_12,Control,avoid or beat command,2,3
LE07,16,EXP_03,ALS,admit the gear beyond,2,3
LE07,17,EXP_46,ALS,may the same pursued it,2,4
LE07,18,EXP_58,Control,rampant boasting captain,2,2
LE07,19,EXP_32,Control,for coke a great defeat,2,3
LE07,20,EXP_74,ALS,technique but sent result,2,3
LE07,21,EXP_79,ALS,unseen machines agree,2,4
LE07,22,EXP_19,ALS,career despite research,2,3
LE07,23,EXP_24,ALS,constant willing walker,2,2
LE07,24,EXP_57,Control,push her equal culture,2,2
LE07,25,EXP_67,Control,signal breakfast pilot,2,3
LE07,26,EXP_22,Control,confused but roared again,2,1
LE07,27,EXP_41,ALS,its harmful note abounds,2,3
LE07,28,EXP_59,Control,remove and name for stake,2,3
LE07,29,EXP_51,Control,narrow seated member,2,2
LE07,30,EXP_08,Control,appear to wait then turn,2,2
LE07,31,EXP_16,ALS,bolder ground from justice,2,4
LE07,32,EXP_73,ALS,target keeping season,2,2
LE07,33,EXP_65,Control,seat for locking runners,2,2
LE07,34,EXP_35,ALS,functions aim his acid,2,5
LE07,35,EXP_76,ALS,to sort but fear inside,2,4
LE07,36,EXP_61,ALS,rocking modern poster,2,3
LE07,37,EXP_28,Control,distant leaking basement,2,1
LE07,38,EXP_42,Control,kick a tad above them,2,2
LE07,39,EXP_31,Control,embark or take her sheet,2,3
LE07,40,EXP_02,Control,address her meeting time,2,1
LE07,41,EXP_72,ALS,support with dock and cheer,2,3
LE07,42,EXP_06,Control,amend estate approach,2,3
LE07,43,EXP_01,ALS,account for who could knock,2,3
LE07,44,EXP_53,Control,pain can follow agents,2,4
LE07,45,EXP_34,ALS,frame her seed to answer,2,5
LE07,46,EXP_63,Control,round and bad for carpet,2,2
LE07,47,EXP_15,Control,beside a sunken bat,2,2
LE07,48,EXP_44,ALS,mark a single ladder,2,3
LE07,49,EXP_07,ALS,and spoke behind her sin,2,4
LE07,50,EXP_69,ALS,spackle enter broken,2,3
LE07,51,EXP_75,Control,thinking for the hearing,2,2
LE07,52,EXP_33,ALS,forget the joke below,2,4
LE07,53,EXP_43,Control,listen final station,2,2
LE07,54,EXP_70,ALS,stable wrist and load it,2,4
LE07,55,EXP_36,ALS,had eaten junk and train,2,5
LE07,56,EXP_11,ALS,attend the trend success,2,4
LE07,57,EXP_10,Control,attack became concerned,2,2
LE07,58,EXP_77,Control,transcend almost betrayed,2,2
LE07,59,EXP_66,ALS,secure but lease apart,2,4
LE07,60,EXP_56,Control,pooling pill or cattle,2,2
LE07,61,EXP_60,ALS,resting older earring,2,2
LE07,62,EXP_29,ALS,divide across retreat,2,3
LE07,63,EXP_54,ALS,perceive sustained supplies,2,4
LE07,64,EXP_55,Control,pick a chain for action,2,2
LE07,65,EXP_21,Control,commit such used advice,2,2
LE07,66,EXP_14,ALS,balance clamp and bottle,2,3
LE07,67,EXP_62,Control,rode the lamp for teasing,2,3
LE07,68,EXP_78,Control,unless escape can learn,2,4
LE07,69,EXP_17,Control,bush is chosen after,2,2
LE07,70,EXP_20,ALS,cheap control in paper,2,2
LE07,71,EXP_68,ALS,sinking rather tundra,2,2
LE07,72,EXP_30,Control,done with finest handle,2,1
LE07,73,EXP_37,Control,her owners arm the phone,2,2
LE07,74,EXP_27,ALS,define respect instead,2,2
LE07,75,EXP_49,ALS,mode campaign for budget,2,2
LE07,76,EXP_39,Control,increase a grade sedate,2,2
LE07,77,EXP_04,ALS,advance but sat appeal,2,4
LE07,78,EXP_26,ALS,darker painted baskets,2,2
LE07,79,EXP_80,ALS,vital seats with wonder,2,3
LE07,80,EXP_25,ALS,cool the jar in private,2,5
LE07,81,EXP_50,ALS,model sad and local,2,5
LE07,82,EXP_38,Control,hold a page of fortune,2,2
LE07,83,EXP_05,Control,afraid beneath demand,2,1
LE07,84,EXP_45,Control,mate denotes a judgement,2,1
LE07,85,EXP_47,ALS,measure fame with legal,2,2
LE08,6,EXP_10,ALS,attack became concerned,1,5
LE08,7,EXP_12,ALS,avoid or beat command,1,6
LE08,8,EXP_53,ALS,pain can follow agents,1,4
LE08,9,EXP_27,Control,define respect instead,1,1
LE08,10,EXP_32,ALS,for coke a great defeat,1,5
LE08,11,EXP_36,Control,had eaten junk and train,1,2
LE08,12,EXP_72,Control,support with dock and cheer,1,1
LE08,13,EXP_52,ALS,or spent sincere aside,1,6
LE08,14,EXP_80,Control,vital seats with wonder,1,1
LE08,15,EXP_26,Control,darker painted baskets,1,1
LE08,16,EXP_08,ALS,appear to wait then turn,1,4
LE08,17,EXP_15,ALS,beside a sunken bat,1,4
LE08,18,EXP_33,Control,forget the joke below,1,1
LE08,19,EXP_75,ALS,thinking for the hearing,1,3
LE08,20,EXP_58,ALS,rampant boasting captain,1,4
LE08,21,EXP_55,ALS,pick a chain for action,1,3
LE08,22,EXP_41,Control,its harmful note abounds,1,1
LE08,23,EXP_50,Control,model sad and local,1,1
LE08,24,EXP_16,Control,bolder ground from justice,1,1
LE08,25,EXP_65,ALS,seat for locking runners,1,3
LE08,26,EXP_06,ALS,amend estate approach,1,3
LE08,27,EXP_05,ALS,afraid beneath demand,1,2
LE08,28,EXP_14,Control,balance clamp and bottle,1,1
LE08,29,EXP_54,Control,perceive sustained supplies,1,1
